Name,Ticker,Sub-Sector,Market Cap,Close Price,PE Ratio,5Y Historical Revenue Growth,1Y Forward Revenue Growth,Total Revenue,PBT,Taxes & Other Items,DII Holding Change – 3M,FII Holding Change – 3M,MF Holding Change – 3M,Promoter Holding Change – 3M,Percentage Buy Reco’s,No. of analysts with buy reco,Percentage Upside
HDFC Asset Management Company Ltd,HDFCAMC,Asset Management,46184.76633,2173.65,33.15179942,8.910658729,-6.723656091,2433.2,1855.29,462.16,0.958643057,5.050770547,0.903824728,-6.004899198,70,14,2.247371932
Procter & Gamble Hygiene and Health Care Ltd,PGHH,FMCG - Personal Products,45778.97505,14092.85,79.51189762,10.3606563,0.29195667,3925.24,790.14,214.39,0.381913706,-0.355346225,0.08990554,0,0,0,1.115104468
Schaeffler India Ltd,SCHAEFFLER,Auto Parts,45224.98444,2832.95,71.88610191,24.77054602,21.34889906,5632.89,843.14,214.02,-1.15325763,0.797234639,-0.975481894,0,33.33333333,2,-0.280626202
United Breweries Ltd,UBL,Alcoholic Beverages,44348.02746,1680.15,121.3485127,4.183631991,32.28690764,5868.23,494.44,128.98,0.861022945,-0.759163355,1.007124109,0,64.70588235,11,8.323661578
Ashok Leyland Ltd,ASHOKLEY,Trucks & Buses,44017.6466,148.55,-122.7451733,2.551860064,20.65329274,26772.99,-199.59,159.02,-2.213370104,2.556797405,-2.141281729,0,85,34,21.17132279
NHPC Ltd,NHPC,Renewable Energy,43922.817,42.7,12.46543051,-1.283180047,-1.193901409,10213.67,3217.35,-306.22,0.122028865,-0.079564085,0.896990491,0,100,9,17.09601874
Indian Railway Finance Corp Ltd,IRFC,Specialized Finance,43820.68365,35.3,7.195715423,17.54354891,NULL,20301.6,6090.15,0.32,0.133301695,0.037539922,0.133891586,0,100,1,NULL
Muthoot Finance Ltd,MUTHOOTFIN,Consumer Finance,43734.45209,1087.05,10.88839895,15.55919659,-39.76200944,12237.46,5410.18,1393.57,1.276400228,-1.023687044,1.146749782,-0.014050617,60,12,16.32399614
Indian Overseas Bank,IOB,Public Banks,43262.67766,22.45,25.31046854,NULL,NULL,21641.17,1778.8,69.52,0.019162803,0.007648389,0.019162803,0,0,0,-37.63919822
CG Power and Industrial Solutions Ltd,CGPOWER,Heavy Electrical Equipments,43016.9451,279.85,47.13979124,2.08649737,10.93685647,6191.45,1035.39,122.85,1.910329357,0.100566529,1.569758245,0,75,3,-5.663748437
